word,max_emp_bridge,date_of_max,occurrences
что,1.2144639732139635,1811,560
здесь,1.2124705021788786,1823,56
так,1.0982159112447623,1811,292
сам,0.6956078470727389,1809,82
мочь,0.792948465220667,1813,97
сюда,0.6407701349916698,1813,8
нимало,0.6786307259538115,1816,3
обидно,0.7014426240029816,1788,2
по,1.1295806843183724,1823,158
улица,0.9852588529605761,1808,3
идти,1.090564624495685,1815,31
без,0.8189010658308361,1828,94
сапог,0.872321748804465,1813,2
платье,0.5699556190616349,1788,3
шляпа,1.25139851457805,1811,3
ужасно,1.2035401009573163,1809,2
стыдно,0.7289838596094071,1814,11
приятель,0.5971948174856946,1828,22
карета,1.1033280838627118,1811,2
видеть,0.7393861219490707,1811,83
бедняк,1.5651363972479493,1828,15
очень,1.2775832748706144,1811,14
чем,0.6052627587730508,1816,61
столько,0.8223410934942071,1811,14
разжиться,0.7217958346617251,1811,3
поведать,1.1844935933604537,1809,2
правда,0.5851549937519864,1819,29
имение,0.6969945320132221,1819,3
доставить,1.015066816632805,1811,2
выше,0.69953382367737,1788,2
наука,1.8308745067509151,1813,13
сегодня,0.6992848497218555,1788,2
же,0.8632863527092071,1811,130
пешком,1.1116272157131966,1811,2
попасться,0.7246434431101778,1823,16
друг,1.179469933508989,1815,113
конечно,0.8472914393450197,1830,11
уж,1.3638292812991624,1809,109
философ,0.9530385610489787,1811,6
гласить,0.854520110985175,1813,2
свой,0.8303350119678535,1823,168
ответ,0.9079124871836168,1812,13
знать,0.9716953923750116,1811,111
колесо,1.238135831293015,1832,5
вертеться,0.69816446692204,1788,2
свет,1.5156232891324832,1816,72
дуб,0.895582048142443,1823,14
однажды,0.4340156608474511,1819,11
речь,0.6193027635222667,1811,17
войти,0.5370598600797417,1815,4
поистине,0.7201986619850774,1814,2
роптать,0.4697868194742916,1819,6
природа,1.013341706858293,1811,14
воробей,0.8869424897902176,1819,4
тот,0.8709868117193578,1821,213
тяжёлый,0.7703516731210168,1805,6
чуть,0.9436762111686904,1811,26
лёгкий,1.1721501896024493,1823,10
ветерок,0.9054081960390392,1814,6
вода,1.1053322066280211,1811,37
начать,0.8100693432211785,1818,20
слабеть,0.7532707024092595,1814,2
смотреть,2.0696670876663554,1816,33
меж,0.7826725998248751,1814,32
тем,1.7536801324699522,1819,57
только,1.3096754800274129,1815,110
солнце,0.7782266984241512,1814,12
луч,0.9142431011145897,1814,3
но,1.0666567844739816,1812,223
вихрь,1.18522782595438,1811,3
гроза,0.9401794360564325,1809,3
стоить,0.6208685305077581,1807,15
будто,0.7921588300580678,1808,27
б,1.1442434784935436,1813,74
буря,0.97881455567612,1805,4
зефир,0.7230203668142423,1814,2
расти,0.5848615896668163,1823,6
густой,1.5315140871442954,1811,4
ветвь,1.2608861524059762,1809,4
покрыть,1.3711410686778585,1805,2
непогода,0.6747851687808538,1819,3
бы,1.3521298554294992,1811,144
защита,0.69405639665605,1805,2
вы,1.8917898922084266,1823,107
удел,0.8234448370987156,1811,4
отвести,0.561061709300389,1805,3
эоловый,0.6936829357227782,1805,2
владение,0.5763422933092345,1811,3
нет,0.8866559933116269,1815,102
у,1.238087306064582,1815,218
она,1.7648193403221828,1811,253
о,1.364029003318467,1815,94
радение,0.6933094747895064,1805,2
трость,1.3977397862586625,1805,2
худо,1.0109634432220433,1811,21
за,0.8783507698382925,1813,201
мало,1.0318272352185254,1816,17
вредить,0.8465962455892864,1808,4
едва,0.6234224362827063,1814,26
ль,1.6550858777266702,1815,66
более,1.0872472156028508,1813,9
они,1.560770594176345,1817,404
то,0.9995248053092785,1811,221
ещё,1.402007307496993,1814,59
одолеть,1.1069542272582775,1809,4
крепость,0.9147279441247144,1809,5
удар,1.330807287884502,1807,2
лицо,1.340715642775856,1811,5
подождать,0.9397728573244899,1809,3
конец,0.7527726344355018,1823,17
лишь,1.4191475702243788,1813,142
это,0.7514607271376187,1823,105
северный,0.6904047786418367,1805,2
сторона,0.8554184753137833,1819,26
град,1.1157277014517895,1814,4
дождь,0.9739244266785252,1815,16
шуметь,1.1643803365784933,1812,6
держаться,0.8573705291150309,1811,6
земля,1.5422435770643563,1811,23
припасть,0.5561319421755841,1805,3
ветер,0.5719571138485878,1814,11
